,cell_types,Sample_ID,condition
HNSCC17_P1_HNSCC17_P1_E08,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_G01,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_B12,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E11,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A04,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_F09,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A12,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_F10,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A02,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_B08,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_G04,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_G11,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_B01,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_F11,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_B02,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D12,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H06,CRC,oscc17,N0_pri
HNSCC16_P5_HNSCC16_P5_H07,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_C09,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_H05,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_B04,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_F04,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_H09,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_H03,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_H12,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_C12,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_B06,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_F11,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_A04,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_A08,CRC,oscc16,N0_pri
HNSCC16_P5_HNSCC16_P5_H01,CRC,oscc16,N0_pri
